,종목코드,종목명,SEC_NM_KOR,ROE,GPA,CFO,DY,PBR,PCR,PER,PSR,12M,K_ratio,z_quality,z_value,z_momentum,qvm,invest
11,000270,기아,경기관련소비재,0.2022253247918527,0.29005620480637406,0.1284302570262033,0.0559,0.8434,3.7592,4.1706,0.3865,0.26742712294043103,41.34988767452926,-3.7914840507022562,-2.5982631654468316,-3.1685135313093364,-1.1564344690422883,Y
141,003300,한일홀딩스,산업재,0.09826884487625699,0.14797241991648286,0.06426103966371166,0.0562,0.199,1.8944,2.0247,0.1926,0.2742805755395683,47.37937822254166,-1.8120287981539625,-6.895592392968287,-3.1145755515493483,-1.275812049957866,Y
157,003650,미창석유,소재,0.16869878073156105,0.130949105914718,0.10211829436038515,0.0315,0.4126,3.3369,2.446,0.3718,0.24507042253521116,48.07019185147613,-3.19023091481819,-3.753055771495381,-3.3381687690708843,-1.2091927358520194,Y
219,005390,신성통상,경기관련소비재,0.14048355677781596,0.616209383921372,0.16449103231852158,0.0227,0.7246,1.6755,5.1576,0.2123,0.15568544102019133,12.789167826103249,-4.255536281543109,-2.564713973921355,-2.654463464813585,-1.1300576063299876,Y
221,005430,한국공항,산업재,0.13335181591350154,0.18401174989509023,0.10658833403273185,0.0202,0.4345,3.0853,3.2585,0.2611,0.18339529120198272,46.410562246253576,-3.4811266843834456,-3.461682765011266,-2.970604465335116,-1.1615595784736823,Y
278,007370,진양제약,건강관리,0.10925306577480491,0.5099218280216476,0.10102224894768491,0.0278,0.741,5.2752,6.7824,0.6422,-0.12178387650085765,-6.59567647465652,-4.147200641421617,-6.160969726032562,-1.0079549366724765,-1.1700161060089997,Y
321,009300,삼아제약,건강관리,0.12186732186732187,0.2810304449648712,0.12901852246114542,0.0336,0.698,4.6882,5.7279,1.3859,0.28398791540785506,16.668239410540004,-3.7491712328693843,-5.93244258270492,-2.687879831126604,-1.3682308131669263,Y
379,011560,세보엠이씨,산업재,0.1746683883084869,0.13926733272782318,0.21556161065697851,0.0554,0.4905,1.1737,2.808,0.1155,0.1484098939929328,25.272315835222273,-3.6350099287952116,-6.42373681222315,-2.6512431834335697,-1.3912234359409554,Y
402,012790,신일제약,건강관리,0.11710550543178051,0.27103258226616955,0.1666396498622143,0.0237,0.6321,3.3394,5.3977,0.8894,0.0185185185185186,14.69756102432541,-3.6871950408768788,-6.280806922246944,-2.23603796296308,-1.3187871827200877,Y
410,013520,화승코퍼레이션,경기관련소비재,0.1981445229381224,0.26029885247255014,0.07017254189713532,0.0277,0.3071,1.0611,1.5497,0.0553,0.059798697454114924,18.574854309075917,-2.649563978276875,-6.389456021381929,-2.517248419817546,-1.241787743198019,Y
